accelX,accelY,accelZ,azimuth,gyroX,gyroY,gyroZ,magX,magY,magZ,pitch,pressure,roll,timestamp,timestamp_offset,direction
-0.31278676875,5.315057375,6.6631137625,1.9469863375,0.332997675,0.122898355,0.32925612000000004,-50.4609385,-56.86406325,-40.950000375,-0.6703002375,985.2356525,0.048468803,1754296453930.0,103855.0,Front
0.9812567333333334,6.988637566666667,8.571589000000001,1.9665739999999998,0.330566925,-0.16307544666666668,0.3370191833333333,-53.33125066666667,-59.36250133333334,-36.112503,-0.6776327866666666,985.30008,-0.10139001533333332,1754296454028.1667,103953.16666666667,Front
3.1211755375,6.9936596125,8.97001875,2.0496616,-0.354187032,0.07196751,-0.3154353,-50.75859575,-60.84844125,-36.789844875,-0.6320655275,985.324485,-0.335602285,1754296454125.875,104050.875,Front
1.9056696142857141,5.020526357142857,8.19640012857143,2.2113240142857142,-0.34340418714285714,-0.13770638142857142,-0.4010872685714286,-46.50535714285714,-61.17053942857142,-39.34553771428572,-0.5418336571428571,985.3000542857143,-0.22408562571428572,1754296454231.8572,104156.85714285714,Front
1.192864762857143,5.1452525571428565,6.765535014285715,2.113158942857143,-0.061446447857142865,-0.22245295857142855,-0.26690427714285714,-42.95893028571429,-60.84375128571428,-38.76964485714286,-0.6423542142857143,985.2552,-0.1739917,1754296454328.2856,104253.28571428571,Front
0.47313795142857146,6.1448968,6.957986385714285,2.0800373714285714,0.16078834,-0.01760599428571429,-0.34909830142857146,-38.95714557142857,-61.11161114285714,-36.01339428571429,-0.7222228,985.2428714285714,-0.06954216971428571,1754296454426.8572,104351.85714285714,Front
-0.5427594625,7.066155125,8.605711874999999,2.230926225,0.49491501,0.43657741,0.016722424999999985,-33.930470875,-62.592189250000004,-33.367969,-0.68861935,985.2919850000001,0.059397857250000005,1754296454531.375,104456.375,Front
-0.7484549833333333,8.104191333333334,8.308778,2.103527966666667,-0.49542408000000004,0.059699302499999995,0.171882075,-33.518750000000004,-62.35,-32.15625166666667,-0.7865731866666666,985.283675,0.09640910000000001,1754296454630.1667,104555.16666666667,Front
-0.15818266785714283,5.593906714285715,7.781288571428571,2.3024275,0.006915868571428578,-0.09901463440000001,0.3020835428571429,-34.07678714285715,-62.45625285714285,-30.557144714285716,-0.6464721171428572,985.2719857142857,0.00941794142857143,1754296454720.1428,104645.14285714286,Front
0.61697435,4.73128335,6.1927745625,2.2767155875,-0.044984459375,-0.17682626,0.257632225,-34.2984385,-59.3906275,-30.83437575,-0.65167635,985.23904625,-0.096472442375,1754296454826.5,104751.5,Front
0.3992524333333333,6.013811516666667,6.118995999999999,2.1127500666666665,-0.014686207,-0.08521563466666666,0.03515018000000001,-36.009376499999995,-59.259376,-28.9125015,-0.7749230166666666,985.2346116666666,-0.06491531883333333,1754296454921.1667,104846.16666666667,Front
0.8053343375,6.721139624999999,8.689498,2.2954448625,0.033273040000000004,-0.2031125375,-0.3407384825,-34.5375015,-59.24531425,-27.693751250000002,-0.6554966375,985.2680375,-0.09244736875,1754296455022.0,104947.0,Front
1.2799464571428572,6.639911714285715,10.153088142857142,2.4415273,-0.04388408842857143,-0.25995569142857144,-0.44652036,-32.16160828571429,-59.67321785714285,-24.578572285714284,-0.5771266428571428,985.3118714285714,-0.12468933571428573,1754296455125.0,105050.0,Front
1.410825262857143,5.564338,7.753471714285714,2.469302157142857,-0.5155371408571429,-0.04778926,-0.21739150428571427,-29.903572571428573,-59.95178871428571,-25.138394428571427,-0.6149454542857143,985.2845228571429,-0.18378736714285715,1754296455223.0,105148.0,Front
1.3134032628571428,5.216097071428571,6.504503571428572,2.3816768285714285,-0.005017818571428572,-0.24143339000000003,0.11366447714285713,-29.335714285714285,-58.05803785714285,-26.150893857142854,-0.6756095614285715,985.2551385714286,-0.21453453142857143,1754296455320.5715,105245.57142857143,Front
0.72756761875,5.836468437500001,7.07538975,2.339531025,-0.29684209624999996,0.08182724749999999,-0.16273819875,-29.2570325,-57.178127374999995,-24.815625625000003,-0.6981456175,985.2036125,-0.10813188850000001,1754296455427.375,105352.375,Front
0.8023433583333333,7.489385333333334,8.5401835,2.3199107666666667,0.5001964466666666,-0.08898263866666667,0.10224349333333334,-29.550000999999998,-56.381251999999996,-23.2125005,-0.717530155,985.2289900000001,-0.093939581,1754296455523.0,105448.0,Front
-0.6734674249999999,7.239933625,9.214311250000002,2.36639295,0.26736787125,-0.014212156249999993,0.18025283,-29.632032625,-56.73515875,-22.708593875,-0.66340187375,985.25565625,0.072245899375,1754296455622.5,105547.5,Front
-0.9334572,5.056503999999999,7.8748220571428575,2.4166310714285717,-0.06838412857142857,-0.037470008857142856,0.3061632428571429,-30.533037428571426,-55.416967,-21.707142857142856,-0.5667937185714286,985.2641299999999,0.11828215571428571,1754296455728.0,105653.0,Front
1.8161524142857142,4.236962542857143,6.936280142857143,2.4358223000000003,-0.14126247785714285,-0.021947499285714288,0.38289221714285715,-33.17946428571429,-54.45803814285715,-21.44464285714286,-0.5372037571428571,985.2428571428571,-0.26014387714285714,1754296455824.2856,105749.28571428571,Front
1.9488258571428572,5.215541685714286,6.1646378,2.2852286142857143,0.03836449485714285,-0.03694641142857141,0.016013388571428568,-32.94375214285714,-52.27767942857143,-21.525001428571432,-0.6782520714285714,985.2346614285715,-0.30705946142857143,1754296455923.5715,105848.57142857143,Front
0.9142077875,6.3610948,7.95048975,2.320376375,0.145490815,-0.15463469375,-0.2704317475,-31.3031255,-52.162502,-19.05000125,-0.6702940525000001,985.26431,-0.11580266,1754296456027.375,105952.375,Front
0.9610174333333333,7.315157766666666,9.009076666666667,2.3349359,-0.49039716666666666,0.36231920333333334,-0.34531677999999993,-29.878125999999998,-51.82500000000001,-18.8531255,-0.6793369466666667,985.3238500000001,-0.10603857066666666,1754296456125.0,106050.0,Front
2.3911028500000002,4.62936415,10.824120625,2.569116225,-0.15042546249999997,0.1732278975,-0.2615932975,-27.51093925,-50.746876875,-20.817188375,-0.43008294375,985.3180562499999,-0.23689795,1754296456223.5,106148.5,Front
1.65358995,4.514508500000001,6.580711,2.5014613166666666,-0.135255645,0.17431281383333333,-0.300418205,-25.643751999999996,-49.23750133333334,-20.756250333333334,-0.5851653,985.2542533333332,-0.24607881499999998,1754296456322.5,106247.5,Front
1.2358180875,5.096226075000001,6.1311969375,2.418943675,0.1022816725,-0.339879443875,-0.26480032375,-23.636719499999998,-48.76172025,-18.862501625,-0.6942171749999999,985.19729,-0.18518278500000002,1754296456421.375,106346.375,Right
1.4739359857142857,5.985261057142857,7.925926142857143,2.551395714285714,0.26566072742857144,-0.32472916571428573,-0.4228602205714286,-22.711607142857144,-50.17767857142858,-15.013393857142857,-0.6376577071428571,985.2521399999999,-0.17811078285714285,1754296456524.1428,106449.14285714286,Right
1.3229691424999999,7.178617375,9.287404625,2.5603420125,0.06164961887499999,-0.37693222625,-0.43041147449999995,-21.14062575,-48.548438000000004,-13.20468825,-0.6481374125,985.29030625,-0.14456311762500001,1754296456630.0,106555.0,Right
0.7608178933333334,5.946562933333333,8.501599,2.5952424833333336,-0.1773925816666667,-0.2893335666666667,-0.42317658333333336,-20.671875500000002,-48.600001999999996,-12.009375,-0.609054,985.2951166666667,-0.097282129,1754296456725.5,106650.5,Right
2.180833475,4.26872075,8.6551012375,2.7536585,-0.29032301875,-0.7960331625,-0.6988293125,-18.009376,-46.39687625,-12.96093825,-0.4608196025,985.28926875,-0.265780845,1754296456825.0,106750.0,Right
2.1809083,4.4250765,6.54631415,2.8345825333333337,-0.0035506499999999976,-0.9157244633333333,-1.0807216166666667,-14.2875,-44.940628,-14.718750166666666,-0.569577095,985.23815,-0.32372110000000004,1754296456924.3333,106849.33333333333,Right
1.0839059285714285,4.4302255,7.629258714285713,2.8525224000000002,-0.03827721857142857,-0.6915971128571429,-1.3350231285714287,-10.974107857142858,-43.558931571428566,-14.592858142857143,-0.5271187614285714,985.2529285714287,-0.14171035357142858,1754296457015.0,106940.0,Right
2.1324537,5.6440705,10.521092,0.7024567750000001,0.10108856749999999,-0.6896091,-1.370188725,-5.817187575,-42.541408875,-14.617969,-0.48502819,985.3229974999999,-0.205445035,1754296457121.25,107046.25,Right
1.9310577833333333,4.588337083333333,10.580264066666667,-1.0245899333333333,-0.435699315,-1.0458768999999999,-1.13895737,-2.3062500666666668,-40.26875066666667,-15.987501333333334,-0.40762453000000004,985.3010966666667,-0.18176081833333332,1754296457220.6667,107145.66666666667,Right
1.4714363499999998,4.3112682,6.7715385,-3.0411173000000002,0.078333865625,-1.0612534875,-1.00414715375,-1.6804687875,-37.767189625,-17.779689,-0.56207037,985.23145,-0.21538311999999998,1754296457317.5,107242.5,Right
0.555177564,5.414401971428572,7.1353542857142855,-3.013262457142857,-0.07022763357142857,-0.36238462,-1.1226930571428573,0.64285714,-35.52321585714286,-18.95892885714286,-0.6473133314285714,985.2164457142857,-0.08039548862857142,1754296457423.7144,107348.71428571429,Right
-0.31166514599999995,6.809375,9.260822000000001,-3.003336275,0.1084189475,-0.072206124375,-0.675625955,2.81953125,-34.188282875,-19.80703125,-0.63451462,985.2616725,0.031644049800000004,1754296457527.0,107452.0,Right
-0.8734229571428571,7.0557504,9.385974571428571,-3.029381357142857,-0.1649116714285714,-0.38917541,-0.24669119857142857,3.2625,-32.19107185714286,-19.143751142857145,-0.6454637228571428,985.2912142857142,0.0925669857142857,1754296457629.4285,107554.42857142857,Right
-0.42720427485714285,5.189562314285714,8.350609142857143,-0.4088043285714287,0.13717187142857143,-0.48124144714285716,-0.08953532428571429,1.3151785842857142,-32.50714457142857,-20.466966285714285,-0.5721216914285715,985.29054,0.03740289285714286,1754296457728.8572,107653.85714285714,Right
-0.02991028833333334,4.161567416666666,6.678866500000001,0.01353008333333324,-0.15958841999999998,-0.43104145,-0.17108031999999998,0.24375001666666665,-31.8,-21.781251333333334,-0.557520905,985.25697,0.0037965195,1754296457819.6667,107744.66666666667,Right
0.50937213,5.248955499999999,6.8461645,-0.7360372125000001,0.0638830925,-0.25977978874999996,-0.09313779125,-1.21640628625,-30.4078135,-23.224220125000002,-0.651231765,985.25218875,-0.0712651965,1754296457918.0,107843.0,Right
0.54092747,6.616005125,8.774107,1.4778776374999998,0.24579671375,-0.11233230375,-0.2542915525,-2.390625075,-30.1570325,-23.812500749999998,-0.6460519,985.2991225000001,-0.0630130795,1754296458028.625,107953.625,Right
1.0842477142857143,6.8611198571428575,9.201471571428572,0.3780162999999999,0.13334304285714285,-0.24832744142857144,-0.2717584657142857,-3.6160716,-29.812500142857143,-24.214287714285714,-0.6370378228571428,985.2963714285714,-0.12070985785714285,1754296458135.5715,108060.57142857143,Right
1.0282300285714285,5.089149142857143,8.115685628571429,0.34245645714285716,-0.4881354928571429,-0.04750565,-0.39792386,-4.741071642857143,-29.081251714285713,-26.11875128571429,-0.5528217471428571,985.2622928571428,-0.12395725857142856,1754296458229.2856,108154.28571428571,Front
0.6787498214285714,4.506411514285714,6.827107500000001,1.0899434142857145,-0.0004581485714285706,-0.5094939524285714,-0.078757925,-6.353571428571429,-29.18839457142857,-27.25982314285714,-0.5839604028571428,985.2317714285715,-0.11475723142857142,1754296458327.5715,108252.57142857143,Front
0.5859798500000001,5.7131631125,7.4728972625,2.4697519375,0.0038560825000000017,0.15805172237499998,-0.373877885,-7.0921875,-28.92656375,-28.91718925,-0.64829374,985.2433375,-0.081502649875,1754296458432.25,108357.25,Front
0.29421748,6.804589433333334,8.4469629,2.2168642166666666,0.4171188333333333,-0.0332412235,0.06298270166666667,-6.3656250000000005,-29.325,-30.309376999999998,-0.6769196466666667,985.2728466666666,-0.03226532433333334,1754296458530.6667,108455.66666666667,Front
-0.4264458325,7.6106715750000005,8.718249,2.011487825,0.2250464190625,-0.028834723124999996,0.2033702475,-7.7507814,-31.64765625,-30.3984395,-0.71614334,985.29786125,0.047939644999999996,1754296458627.5,108552.5,Front
-0.676720125,6.345017899999999,9.020492500000001,2.2571704833333333,-0.21172827333333333,0.205695975,0.42424558833333337,-8.0531259,-31.912501666666667,-31.593750333333332,-0.6112902800000001,985.3113033333333,0.0720979715,1754296458727.5,108652.5,Front
0.37425243750000003,4.64289845,7.462914700000001,2.5764712,-0.09830150625,-0.004027889999999999,0.27579589374999997,-8.648438125,-32.728125,-33.796876250000004,-0.5546196875,985.26698125,-0.05930434075,1754296458824.375,108749.375,Front
0.41267648285714287,4.655279299999999,5.623005200000001,2.2164450142857146,0.12568542714285713,0.22735078,0.19062253285714287,-8.51517857142857,-34.0125,-34.78125128571428,-0.6859462842857144,985.2269214285715,-0.06912036228571429,1754296458928.2856,108853.28571428571,Front
0.7740407775,6.79015755,8.002271862499999,2.2277673,0.23560291,-0.015615232,0.104801492,-8.582812624999999,-35.1796875,-35.10468925,-0.70302639375,985.2647125,-0.093847968625,1754296459034.875,108959.875,Front
1.24352,7.5592257,9.000003999999999,-0.3743401166666666,0.028112511666666656,-0.023747368333333334,-0.17554726333333334,-7.337500433333333,-36.63125,-35.9,-0.692784035,985.3011266666666,-0.13762208,1754296459133.0,109058.0,Front
1.97205975,5.647510025,9.221938399999999,-2.87124555,-0.322002081,-0.24262786,-0.35647777999999997,-5.7164065,-35.4,-37.54921950000001,-0.54423008,985.28699125,-0.20925054999999998,1754296459229.5,109154.5,Front
1.8705036,4.8752479285714285,6.486643114285714,-2.473626985714286,-0.12908881714285717,-0.09378956085714285,-0.09498947542857142,-5.1937500000000005,-35.11071485714286,-37.540178857142855,-0.6239062428571429,985.2355714285715,-0.28199509857142857,1754296459336.4285,109261.42857142857,Front
