timestamp,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magX,magY,magZ,pressure,azimuth,pitch,roll,direction
1754295952585,2.070988,4.211368,7.2957163,-0.29642212,-0.17134757,0.013133593,21.4125,-28.218752,-20.306252,985.7927,-2.1744246,-0.50690264,-0.27658778,Stay
1754295952634,2.070988,4.211368,7.2957163,-0.29642212,-0.17134757,0.013133593,-12.056251,-38.11875,-14.793751,985.7927,2.8459718,-0.50690264,-0.27658778,Stay
1754295952637,2.070988,4.211368,7.2957163,-0.20799945,0.38133234,-0.23640467,-12.056251,-38.11875,-14.793751,985.7927,2.8459718,-0.50690264,-0.27658778,Stay
1754295952648,2.0255244,4.1850467,8.103293,-0.20799945,0.38133234,-0.23640467,-12.056251,-38.11875,-14.793751,985.7927,2.8429596,-0.4644845,-0.24494393,Stay
1754295952648,1.692922,4.3932223,8.455039,-0.20799945,0.38133234,-0.23640467,-12.056251,-38.11875,-14.793751,985.7927,2.8147585,-0.47120735,-0.19761324,Stay
1754295952648,1.2418749,4.2520456,8.453842,-0.20799945,0.38133234,-0.23640467,-12.056251,-38.11875,-14.793751,985.7927,2.7920487,-0.4617508,-0.14585744,Stay
1754295952692,1.2418749,4.2520456,8.453842,-0.20799945,0.38133234,-0.23640467,-10.087501,-38.1375,-13.293751,985.7927,2.8581545,-0.4617508,-0.14585744,Stay
1754295952704,1.2418749,4.2520456,8.453842,-0.482125,0.06368265,-0.3773617,-10.087501,-38.1375,-13.293751,985.7927,2.8581545,-0.4617508,-0.14585744,Stay
1754295952709,1.2418749,4.2520456,8.453842,-0.482125,0.06368265,-0.3773617,-10.087501,-38.1375,-13.293751,985.823,2.8581545,-0.4617508,-0.14585744,Stay
1754295952714,1.4213367,4.2448673,8.187042,-0.482125,0.06368265,-0.3773617,-10.087501,-38.1375,-13.293751,985.823,2.8670998,-0.4722858,-0.17189477,Stay
1754295952714,1.524228,4.2891345,8.346166,-0.482125,0.06368265,-0.3773617,-10.087501,-38.1375,-13.293751,985.823,2.872453,-0.4680725,-0.1806355,Stay
1754295952714,0.93679005,4.106084,8.885747,-0.482125,0.06368265,-0.3773617,-10.087501,-38.1375,-13.293751,985.823,2.8491542,-0.430768,-0.105038136,Stay
1754295952714,0.552742,4.0366917,9.328419,-0.482125,0.06368265,-0.3773617,-10.087501,-38.1375,-13.293751,985.823,2.8368208,-0.40776187,-0.059184358,Stay
1754295952737,0.86141616,4.1371903,9.42174,-0.482125,0.06368265,-0.3773617,-10.087501,-38.1375,-13.293751,985.823,2.848443,-0.41223186,-0.09117509,Stay
1754295952749,0.86141616,4.1371903,9.42174,-0.482125,0.06368265,-0.3773617,-10.087501,-38.1375,-13.293751,985.81836,2.848443,-0.41223186,-0.09117509,Stay
1754295952753,0.86141616,4.1371903,9.42174,-0.482125,0.06368265,-0.3773617,-10.6875,-37.66875,-15.543751,985.81836,2.8224003,-0.41223186,-0.09117509,Stay
1754295952772,0.86141616,4.1371903,9.42174,-0.40485063,0.008704823,-0.1386663,-10.6875,-37.66875,-15.543751,985.81836,2.8224003,-0.41223186,-0.09117509,Stay
1754295952781,1.3818551,4.0701914,9.486345,-0.40485063,0.008704823,-0.1386663,-10.6875,-37.66875,-15.543751,985.81836,2.8528388,-0.4015123,-0.14465041,Stay
1754295952781,1.5397813,4.2281175,9.059227,-0.40485063,0.008704823,-0.1386663,-10.6875,-37.66875,-15.543751,985.81836,2.8565226,-0.4312382,-0.16835934,Stay
1754295952789,1.5397813,4.2281175,9.059227,-0.40485063,0.008704823,-0.1386663,-10.6875,-37.66875,-15.543751,985.8159,2.8565226,-0.4312382,-0.16835934,Stay
1754295952812,1.5397813,4.2281175,9.059227,-0.40485063,0.008704823,-0.1386663,-10.70625,-36.6375,-16.3125,985.8159,2.8473625,-0.4312382,-0.16835934,Stay
1754295952829,1.5397813,4.2281175,9.059227,-0.40485063,0.008704823,-0.1386663,-10.70625,-36.6375,-16.3125,985.80884,2.8473625,-0.4312382,-0.16835934,Stay
1754295952839,1.5397813,4.2281175,9.059227,-0.38056874,0.29718572,-0.15241076,-10.70625,-36.6375,-16.3125,985.80884,2.8473625,-0.4312382,-0.16835934,Stay
1754295952849,1.0851451,4.3633122,8.435896,-0.38056874,0.29718572,-0.15241076,-10.70625,-36.6375,-16.3125,985.80884,2.8074157,-0.47399724,-0.12793171,Stay
1754295952849,0.54317075,4.2508492,8.221739,-0.38056874,0.29718572,-0.15241076,-10.70625,-36.6375,-16.3125,985.80884,2.7716322,-0.4762873,-0.06596933,Stay
1754295952849,0.22851457,4.2017965,8.732606,-0.38056874,0.29718572,-0.15241076,-10.70625,-36.6375,-16.3125,985.80884,2.7629197,-0.44833007,-0.026162,Stay
